Date,Algerian dinar(DZD),Australian dollar(AUD),Botswana pula(BWP),Brazilian real(BRL),Brunei dollar(BND),Canadian dollar(CAD),Chilean peso(CLP),Chinese yuan(CNY),Czech koruna(CZK),Danish krone(DKK),Euro(EUR),Indian rupee(INR),Israeli New Shekel(ILS),Japanese yen(JPY),Korean won(KRW),Kuwaiti dinar(KWD),Malaysian ringgit(MYR),Mauritian rupee(MUR),Mexican peso(MXN),New Zealand dollar(NZD),Norwegian krone(NOK),Omani rial(OMR),Peruvian sol(PEN),Philippine peso(PHP),Polish zloty(PLN),Qatari riyal(QAR),Russian ruble(RUB),Saudi Arabian riyal(SAR),Singapore dollar(SGD),South African rand(ZAR),Swedish krona(SEK),Swiss franc(CHF),Thai baht(THB),Trinidadian dollar(TTD),U.A.E. dirham(AED),U.K. pound(GBP),U.S. dollar(USD),Uruguayan peso(UYU)
14-Sep-2021,0.00514839,0.515411,0.0641104,,0.522933,0.554613,0.00089536,0.108991,0.0326724,0.11156,0.829573,0.00953792,0.218684,0.00637953,0.000597969,2.3352,0.169244,0.0164541,0.03528,0.499401,0.0815349,1.82625,0.171267,0.0140425,0.18219,0.192911,0.00965653,0.187252,0.522933,0.049325,0.0817961,0.761393,0.0213278,0.103841,0.191204,0.973874,0.702195,0.0164572
15-Sep-2021,0.00514039,0.513534,0.0636746,0.133396,0.522044,0.554313,0.000895323,0.108944,0.0327509,0.111506,0.829172,0.00951881,,0.00639604,0.000598244,2.3321,0.168593,0.0164364,0.0352388,0.496493,0.0817579,,0.170831,0.0140508,0.182264,0.192654,0.00962584,0.187003,0.522044,0.0490834,0.0816028,0.76511,0.0213065,0.103852,0.190949,0.969565,0.701262,0.0164442
16-Sep-2021,0.00514654,0.514169,0.0635947,0.133624,0.52382,0.554445,0.000898771,0.109034,0.0326946,0.111161,0.826591,0.00956957,,0.00642325,0.00059973,2.33689,,0.0164685,,0.500677,0.0816035,1.82758,0.170974,0.0140947,0.18089,0.193051,0.00970145,0.187388,0.52382,0.048545,0.0816955,0.760009,0.0213419,0.104038,0.191342,0.971418,0.702704,0.0164911
17-Sep-2021,,0.513367,0.0633361,0.13239,0.522292,0.552593,,0.108948,0.0327351,0.111361,0.828079,0.00956494,0.219193,0.00640212,0.000601277,,0.168574,0.0164484,0.0351735,0.496425,0.0818196,,0.17116,0.0141008,0.180791,,0.00968786,,0.522292,0.0481846,0.0816381,0.757942,0.021186,,,0.969583,0.702953,0.016463
20-Sep-2021,0.0051485,0.510376,0.0629424,0.132176,0.521449,0.549456,0.000902961,,0.0324618,0.111007,0.82544,0.00957069,0.219372,,,2.34167,0.16826,0.0164951,0.034939,0.495504,0.0805856,1.83314,0.171244,0.0141045,0.179431,0.193638,0.00961172,0.187958,0.521449,0.0475912,0.0808713,0.757447,0.0211265,0.104134,0.191924,0.965246,0.704842,0.0164525
21-Sep-2021,0.00515728,0.511946,0.0631832,0.132807,0.52134,0.550256,0.00089383,,0.0325455,0.111189,0.826805,0.00957163,,0.00642979,,2.34014,0.168131,0.0164886,0.0349677,0.494618,0.081196,1.83195,0.171383,0.014045,0.179064,0.193512,0.00962184,0.187835,0.52134,0.0475579,0.0812006,0.761783,0.0210716,0.104089,0.191799,0.964019,0.704383,0.016481
22-Sep-2021,0.00515661,0.510749,0.0630511,0.133483,0.520797,0.552275,0.000897315,0.108911,0.0325576,0.111119,0.826287,0.00954549,0.219602,0.00645012,,2.34047,0.168194,0.0164911,0.0351664,0.494758,0.0815939,,0.17149,0.0140523,0.178531,0.193539,0.00966625,0.187862,0.520797,0.0476507,0.0812758,0.764039,0.0210658,0.104053,0.191826,0.960984,0.704482,0.0165274
23-Sep-2021,0.00515904,0.510498,0.0630019,0.133255,0.521396,0.556958,0.000897697,0.109009,0.0325641,0.111021,0.825578,0.00955861,0.220018,,0.000598437,2.34126,0.168331,0.0164855,0.0351867,0.493162,0.0818537,,0.171506,0.0140433,0.179519,0.193604,0.00969026,,0.521396,0.0482365,0.0813087,0.762229,0.0210376,0.104007,0.191891,0.964197,0.704719,0.0165443
24-Sep-2021,0.0051617,0.51422,0.0630003,0.131895,0.522001,0.555758,0.000895154,0.109048,0.0325002,0.111057,0.825839,0.00956259,0.22015,0.00638316,0.000596345,,0.168548,,0.0350392,0.49766,0.0818554,,0.171627,0.0139899,0.179459,,0.00965237,,0.522001,,0.081607,0.763697,,,,0.965088,0.704701,0.0165078
27-Sep-2021,0.00515883,0.513781,0.0627767,0.131911,0.521597,0.558167,0.00089401,0.109185,0.0324227,0.110964,0.825125,0.00957626,0.220149,0.00636603,0.00060015,2.3426,0.168544,0.0164963,0.0350833,0.495372,0.0819752,,0.171161,0.0139891,0.17959,0.193779,0.00970745,0.188095,0.521597,0.046816,0.0813747,0.761477,0.0210982,0.104321,0.192064,0.966338,0.705356,0.016522
